img,last_position,peak_position,rank,singer,title,weaks_on_charts
https://charts-static.billboard.com/img/2022/10/sam-smith-0od-unholy-dry-180x180.jpg,1,1,1,Sam Smith & Kim Petras,Unholy,1
https://charts-static.billboard.com/img/2022/09/david-guetta-ruw-imgoodblue-rkt-180x180.jpg,2,2,2,David Guetta & Bebe Rexha,I'm Good (Blue),7
https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-frn-180x180.jpg,3,1,3,Harry Styles,As It Was,28
https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,4,4,4,Chris Brown,Under The Influence,12
https://charts-static.billboard.com/img/2022/06/onerepublic-m2z-i-aint-worried-6ds-180x180.jpg,5,5,5,OneRepublic,I Ain't Worried,19
https://charts-static.billboard.com/img/2022/06/manuel-turizo-eml-la-bachata-1l6-180x180.jpg,6,6,6,Manuel Turizo,La Bachata,14
https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg,7,2,7,Bad Bunny & Chencho Corleone,Me Porto Bonito,23
https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg,8,4,8,Bad Bunny,Titi Me Pregunto,23
https://charts-static.billboard.com/img/2022/07/bizarrap-rsm-bzrp-music-sessions-vol-52-6r7-180x180.jpg,9,1,9,Bizarrap & Quevedo,"Bzrp Music Sessions, Vol. 52",14
https://charts-static.billboard.com/img/2022/07/steve-lacy-d2o-badhabit-9nj-180x180.jpg,10,10,10,Steve Lacy,Bad Habit,14
https://charts-static.billboard.com/img/2022/04/rema-000-calmdown-55o-180x180.jpg,11,11,11,Rema & Selena Gomez,Calm Down,15
https://charts-static.billboard.com/img/2002/06/beyonce-0na-180x180.jpg,12,12,12,Beyonce,Cuff It,11
https://charts-static.billboard.com/img/2016/08/blackpink-l5z-180x180.jpg,13,1,13,BLACKPINK,Shut Down,4
https://charts-static.billboard.com/img/2022/08/nicki-minaj-721-superfreakygirl-y5e-180x180.jpg,14,5,14,Nicki Minaj,Super Freaky Girl,9
https://charts-static.billboard.com/img/2022/08/rosalia-88x-despecha-hsd-180x180.jpg,15,6,15,Rosalia,Despecha,11
https://charts-static.billboard.com/img/2013/01/tom-odell-qwt-180x180.jpg,16,16,16,Tom Odell,Another Love,76
https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg,17,7,17,Bad Bunny,Efecto,23
https://charts-static.billboard.com/img/2022/09/blackpink-l5z-pinkvenom-t5p-180x180.jpg,18,1,18,BLACKPINK,Pink Venom,8
https://charts-static.billboard.com/img/2020/07/glass-animals-rtd-heat-waves-1lv-180x180.jpg,19,1,19,Glass Animals,Heat Waves,93
https://charts-static.billboard.com/img/2022/07/rosalinn-rc0-snap-c77-180x180.jpg,20,18,20,Rosa Linn,Snap,14
https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg,21,4,21,Bad Bunny & Bomba Estereo,Ojitos Lindos,23
https://charts-static.billboard.com/img/2020/12/the-weeknd-xmx-save-your-tears-e5b-180x180.jpg,22,1,22,The Weeknd & Ariana Grande,Save Your Tears,93
https://charts-static.billboard.com/img/2022/05/zach-bryan-cfd-something-in-the-orange-8ma-180x180.jpg,23,23,23,Zach Bryan,Something In The Orange,24
https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg,24,2,24,Bad Bunny,Moscow Mule,23
https://charts-static.billboard.com/img/2013/03/the-neighbourhood-ro9-180x180.jpg,25,25,25,The Neighbourhood,Sweater Weather,107
https://charts-static.billboard.com/img/2022/09/elton-john-m6x-holdmecloser-cos-180x180.jpg,26,6,26,Elton John & Britney Spears,Hold Me Closer,7
https://charts-static.billboard.com/img/2021/07/the-kid-laroi-qev-stay-vsd-180x180.jpg,27,1,27,The Kid LAROI & Justin Bieber,Stay,66
https://charts-static.billboard.com/img/2022/10/lil-nas-x-qv4-starwalkinleagueoflegendsworldsanthem-s28-180x180.jpg,28,21,28,Lil Nas X,Star Walkin' (League Of Legends Worlds Anthem),3
https://charts-static.billboard.com/img/2022/04/nicky-youre-alv-sunroof-n0r-180x180.jpg,29,26,29,Nicky Youre & dazy,Sunroof,21
https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg,30,16,30,Bad Bunny,Neverita,23
https://charts-static.billboard.com/img/2021/08/elton-john-m6x-cold-heart-pnau-remix-8pz-180x180.jpg,31,3,31,Elton John & Dua Lipa,Cold Heart (PNAU Remix),61
https://charts-static.billboard.com/img/2022/03/imagine-dragons-ud7-bones-8cg-180x180.jpg,32,32,32,Imagine Dragons,Bones,31
https://charts-static.billboard.com/img/2022/06/joji-77h-glimpse-of-us-xra-180x180.jpg,33,2,33,Joji,Glimpse Of Us,18
https://charts-static.billboard.com/img/2022/07/charlie-puth-9ci-leftandright-z0u-180x180.jpg,34,5,34,Charlie Puth Featuring Jung Kook,Left And Right,16
https://charts-static.billboard.com/img/2022/08/d4vd-7p1-180x180.jpg,35,35,35,d4vd,Romantic Homicide,6
https://charts-static.billboard.com/img/2016/12/the-weeknd-xmx-dieforyou-yho-180x180.jpg,36,36,36,The Weeknd,Die For You,32
https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg,37,7,37,Post Malone Featuring Doja Cat,I Like You (A Happier Song),19
https://charts-static.billboard.com/img/2019/12/the-weeknd-xmx-blinding-lights-q48-180x180.jpg,38,2,38,The Weeknd,Blinding Lights,110
https://charts-static.billboard.com/img/2022/09/grupofrontera-000-noseva-92t-180x180.jpg,39,39,39,Grupo Frontera,No Se Va,3
https://charts-static.billboard.com/img/2022/04/karol-g-tb3-provenza-wah-180x180.jpg,40,6,40,Karol G,Provenza,25
https://charts-static.billboard.com/img/2020/04/dua-lipa-eqf-levitating-tr9-180x180.jpg,41,2,41,Dua Lipa,Levitating,106
https://charts-static.billboard.com/img/2022/06/kate-bush-qv2-running-up-that-hill-a-deal-with-god-cfi-180x180.jpg,42,1,42,Kate Bush,Running Up That Hill (A Deal With God),20
https://charts-static.billboard.com/img/2021/09/ed-sheeran-w3r-shivers-9kr-180x180.jpg,43,3,43,Ed Sheeran,Shivers,57
https://charts-static.billboard.com/img/2022/04/lizzo-o9x-about-damn-time-k73-180x180.jpg,44,6,44,Lizzo,About Damn Time,26
https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg,45,3,45,Drake Featuring 21 Savage,Jimmy Cooks,17
https://charts-static.billboard.com/img/2022/06/harry-styles-6jk-latenighttalking-nw1-180x180.jpg,46,2,46,Harry Styles,Late Night Talking,21
https://charts-static.billboard.com/img/2022/05/stephensanchez-s9k-untilifoundyou-n64-180x180.jpg,47,44,47,Stephen Sanchez,Until I Found You,22
https://charts-static.billboard.com/img/2010/11/coolio-i15-gangstasparadise-nqq-180x180.jpg,48,21,48,Coolio Featuring L.V.,Gangsta's Paradise,65
https://charts-static.billboard.com/img/1988/03/future-f8b-180x180.jpg,49,2,49,Future Featuring Drake & Tems,Wait For U,24
https://charts-static.billboard.com/img/2021/07/ed-sheeran-w3r-bad-habits-i7l-180x180.jpg,50,1,50,Ed Sheeran,Bad Habits,68
https://charts-static.billboard.com/img/2022/08/elizarose-000-botabaddestofthemall-ahs-180x180.jpg,51,47,51,Eliza Rose & Interplanetary Criminal,B.O.T.A. (Baddest Of Them All),7
https://charts-static.billboard.com/img/2022/04/james-hype-000-ferrari-vua-180x180.jpg,52,25,52,James Hype & Miggy Dela Rosa,Ferrari,17
https://charts-static.billboard.com/img/2022/09/karol-g-tb3-gatubela-p1y-180x180.jpg,53,23,53,Karol G x Maldy,Gatubela,7
https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg,54,30,54,Ed Sheeran,Perfect,110
https://charts-static.billboard.com/img/2022/08/rauw-alejandro-rbn-lokera-3xf-180x180.jpg,55,55,55,"Rauw Alejandro, Lyanno & Brray",Lokera,9
https://charts-static.billboard.com/img/2022/10/glorilla-000-tomorrow2-4zo-180x180.jpg,56,39,56,GloRilla & Cardi B,Tomorrow 2,3
https://charts-static.billboard.com/img/2021/01/central-cee-v14-180x180.jpg,57,19,57,Central Cee,Doja,12
https://charts-static.billboard.com/img/2022/10/ed-sheeran-w3r-celestial-z4e-180x180.jpg,58,42,58,Ed Sheeran,Celestial,2
